Event,OvertakingDifficulty,SafetyCarChance,RedFlagBaseChance,Latitude,Longitude,Notes
Bahrain Grand Prix,0.45,0.35,0.03,26.0325,50.5106,Good overtaking
Saudi Arabian Grand Prix,0.50,0.55,0.06,21.6319,39.1044,Fast street circuit
Australian Grand Prix,0.55,0.50,0.05,-37.8497,144.968,Moderate overtaking
Monaco Grand Prix,0.88,0.55,0.08,43.7347,7.4206,Very hard to overtake
Barcelona Grand Prix,0.72,0.35,0.035,41.57,2.2611,Barcelona: high tyre degradation and moderate-to-hard overtaking; grid position matters.
Spanish Grand Prix,0.72,0.35,0.035,41.57,2.2611,Barcelona: high tyre degradation and moderate-to-hard overtaking; grid position matters.
Canadian Grand Prix,0.48,0.55,0.05,45.5,-73.5228,Good overtaking and safety car risk
British Grand Prix,0.45,0.40,0.04,52.0733,-1.0147,Good overtaking
Hungarian Grand Prix,0.72,0.40,0.04,47.583,19.2526,Hard to overtake
Dutch Grand Prix,0.68,0.45,0.04,52.3888,4.5409,Track position important
Italian Grand Prix,0.38,0.35,0.03,45.6218,9.2895,Low drag overtaking
Singapore Grand Prix,0.78,0.65,0.07,1.2914,103.864,Street circuit chaos
Abu Dhabi Grand Prix,0.52,0.35,0.03,24.4672,54.6031,Moderate overtaking
